一天	one day	{一天}，一个男人走在街上。	yìtiān	1	一天
男人	man, man	一天，一个{男人}走在街上。	nánrén	1	男人
突然	suddenly	{突然}，他看见前面有一只黑色的大狗，看起来很凶。	tūrán	1	突然
他	he	{他}气坏了，大叫：	tā	1	他
这时	at this moment	{这时}，那只狗咬了男人。	zhèshí	1	这时
狗	dog	{狗}的旁边站着一个女人，男人问她：	gǒu	1	狗
女人	woman	{女人}说：	nǚrén	1	女人
看起来	it seems (or appears); it looks as if	突然，他看见前面有一只黑色的大狗，{看起来}很凶。	kànqǐlái	1	看起来
凶	ferocious, fierce	突然，他看见前面有一只黑色的大狗，看起来很{凶}。	xiōng	1	凶
你	you	{你}的狗咬人吗？	nǐ	1	你
你的	your(s)	{你的}狗咬人吗？	nǐde	1	你的
的	of, possessive particle	你{的}狗咬人吗？	de	5	的
害怕	Fear	… 黑色的大狗，看起来很凶。男人非常{害怕}，不敢往前走。狗的旁边站着一个 …		1	害怕
个	indivual, piece, measure word	一天，一{个}男人走在街上。突然，他看见前面有 …		1	个
黑色	black	… 在街上。突然，他看见前面有一只{黑色}的大狗，看起来很凶。男人非常害怕， …		1	黑色
街上	on the street	一天，一个男人走在{街上}。突然，他看见前面有一只黑色的 …		1	街上
旁边	beside, side	… 凶。男人非常害怕，不敢往前走。狗的{旁边}站着一个女人，男人问她：你的 …		1	旁边
不敢	Don't dare	… 的大狗，看起来很凶。男人非常害怕，{不敢}往前走。狗的旁边站着一个女人， …		1	不敢
前面	Front	… 一个男人走在街上。突然，他看见{前面}有一只黑色的大狗，看起来很 …		1	前面
有	have	… 个男人走在街上。突然，他看见前面{有}一只黑色的大狗，看起来很凶。 …		1	有
非常	Very	… 只黑色的大狗，看起来很凶。男人{非常}害怕，不敢往前走。狗的旁边站着一 …		1	非常
站着	standing	… 男人非常害怕，不敢往前走。狗的旁边{站着}一个女人，男人问她：你的狗 …		1	站着
吗	?	… 女人，男人问她：你的狗咬人{吗}？女人说：我的狗不咬人。这时， …		1	吗
往前	go forward	… 大狗，看起来很凶。男人非常害怕，不敢{往前}走。狗的旁边站着一个女人，男人 …		1	往前
走	Walk	… 狗，看起来很凶。男人非常害怕，不敢往前{走}。狗的旁边站着一个女人，男人问 …		1	走
看见	see	一天，一个男人走在街上。突然，他{看见}前面有一只黑色的大狗，看起来 …		1	看见
很	very	… 前面有一只黑色的大狗，看起来{很}凶。男人非常害怕，不敢往前走。狗的 …		1	很
在	exist	一天，一个男人走{在}街上。突然，他看见前面有一只黑色 …		1	在
大	big	… 突然，他看见前面有一只黑色的{大}狗，看起来很凶。男人非常害怕，不敢往前 …		1	大
一	one	{一}天，{一}个男人走在街上。突然，他看见前面 …		1	一
只	one of a pair, single	… 走在街上。突然，他看见前面有一{只}黑色的大狗，看起来很凶。男人非常 …		1	只
人	people	… 个女{人}，男{人}问她：你的狗咬{人}吗？女{人}说：我的狗不咬{人}。 …		1	人
不	No, not	… 狗咬人吗？女人说：我的狗{不}咬人。这时，那只狗咬了男人。 …		1	不
气坏	angry	… 人。这时，那只狗咬了男人。他{气坏}了，大叫：你说你的狗不 …		1	气坏
咬	bite	… {咬}人吗？女人说：我的狗不{咬}人。这时，那只狗{咬}了男人。他 …		1	咬
问	ask	… 走。狗的旁边站着一个女人，男人{问}她：你的狗咬人吗？女人说： …		1	问
她	she	… 狗的旁边站着一个女人，男人问{她}：你的狗咬人吗？女人说：我 …		1	她
我	I, me	… 她：你的狗咬人吗？女人说：{我}的狗不咬人。这时，那只狗 …		1	我
说	say	… 问她：你的狗咬人吗？女人{说}：我的狗不咬人。这时，那只 …		1	说
